fecha,region,categoria,producto,unidades,precio,descuento,canal
2024-07-15,Medellin,Alimentos,Snack Saludable,17,13036,0.12,Tienda Fisica
2024-06-10,Barranquilla,Ropa,Chaqueta,11,162110,0.08,Distribuidores
2024-08-11,Barranquilla,Hogar,Plancha,16,118439,0.12,Tienda Fisica
2024-06-13,Cali,Hogar,Plancha,15,124010,0.13,Catalogo
2024-12-04,Barranquilla,Electronica,Laptop,1,3072533,0.02,App Movil
2024-04-05,Bucaramanga,Deportes,Tenis,3,306052,0.1,Catalogo
2024-04-27,Bucaramanga,Alimentos,Granola,1,16519,0.22,E-commerce
2024-04-26,Medellin,Deportes,Bicicleta,7,1950334,0.21,E-commerce
2024-09-07,Barranquilla,Ropa,Chaqueta,6,173311,0.12,Catalogo
2024-12-17,Barranquilla,Ropa,Jean,3,105255,0.03,Tienda Fisica
2024-05-06,Medellin,Alimentos,Granola,9,19695,0.11,Tienda Fisica
2024-10-14,Barranquilla,Electronica,Audifonos,19,397484,0.25,App Movil
2024-12-16,Bogota,Hogar,Aspiradora,3,650858,0.13,Tienda Fisica
17/04/2024,Cali,Ropa,Chaqueta,20,169399,0.19,Tienda Fisica
2024-12-14,Barranquilla,Alimentos,Cafe Premium,10,-32105,0.3,App Movil
2024-07-03,Medellin,Deportes,Bicicleta,12,1990578,0.18,Distribuidores
2024-06-27,Bucaramanga,Hogar,Aspiradora,5,667542,0.14,App Movil
2024-12-10,Cali,Electronica,Tablet,7,1405258,0.02,E-commerce
2024-08-30,Bucaramanga,Electronica,Laptop,1,3496747,0.18,Tienda Fisica
2024-02-16,Bucaramanga,Hogar,Cafetera,2,265334,,Distribuidores
2024-10-11,Bogota,Electronica,Audifonos,18,355335,0.21,Distribuidores
2024-11-30,Medellin,Electronica,Camara,14,1972479,0.04,App Movil
2024-06-22,Bogota,Deportes,Colchoneta,3,70139,0.34,Catalogo
27/09/2024,Bogota,Alimentos,Cafe Premium,11,29856,0.3,Distribuidores
2024-12-20,Bucaramanga,Hogar,Microondas,15,382588,0.13,E-commerce
2024-01-10,Bucaramanga,Electronica,Laptop,19,3343121,0.27,Tienda Fisica
2024-11-06,Barranquilla,Hogar,Plancha,20,111505,0.27,E-commerce
2024-05-04,Bucaramanga,Hogar,Plancha,16,119514,0.12,E-commerce
2024-02-05,Medellin,Ropa,Vestido,16,131646,0.22,Distribuidores
2024-08-24,Barranquilla,Hogar,Microondas,18,401060,0.11,Distribuidores
2024-02-28,Medellin,Ropa,Jean,2,105720,0.33,App Movil
2024-08-05,Bogota,Alimentos,Aceite de Oliva,8,29733,0.32,App Movil
2024-09-26,Medellin,Hogar,Microondas,6,436634,0.2,App Movil
2024-10-01,Cali,Hogar,Microondas,19,444601,0.29,Catalogo
2024-09-19,Barranquilla,Ropa,Chaqueta,4,176113,0.25,Catalogo
2024-01-26,Medellin,Alimentos,Aceite de Oliva,2,29773,0.01,E-commerce
2024-02-22,Medellin,Hogar,Cafetera,2,293606,0.12,Distribuidores
2024-03-26,Barranquilla,Alimentos,Proteina,15,77400,0.3,Distribuidores
2024-04-09,Bogota,Alimentos,Snack Saludable,17,12347,,App Movil
2024-02-10,Barranquilla,Hogar,Plancha,5,110787,0.28,App Movil
2024-09-28,Bogota,Hogar,Plancha,11,122658,0.04,App Movil
2024-12-05,Cali,Electronica,Laptop,16,3253755,0.3,Distribuidores
2024-10-01,Cali,Hogar,Microondas,19,444601,0.29,Catalogo
2024-09-29,Cali,Alimentos,Snack Saludable,18,11305,0.34,App Movil
2024-12-14,Bogota,Alimentos,Cafe Premium,9,34949,0.12,App Movil
10/10/2024,Bogota,Deportes,Colchoneta,4,72845,0.27,App Movil
2024-12-22,Cali,Electronica,Laptop,14,3435225,0.17,Tienda Fisica
2024-10-10,Barranquilla,Alimentos,Cafe Premium,16,36195,0.27,App Movil
2024-04-14,Bucaramanga,Alimentos,Aceite de Oliva,9,29042,0.22,App Movil
2024-10-09,Cali,Hogar,Licuadora,18,183245,0.27,App Movil
2024-09-21,Barranquilla,Ropa,Zapatos,8,210358,0.12,Tienda Fisica
2024-07-30,Cali,Alimentos,Aceite de Oliva,2,29097,0.21,Distribuidores
2024-10-07,Cali,Deportes,Bicicleta,5,-1712473,0.24,Catalogo
2024-11-25,Cali,Alimentos,Proteina,17,78486,0.23,E-commerce
2024-11-09,Bogota,Alimentos,Aceite de Oliva,10,27987,0.25,Tienda Fisica
2024-10-13,Medellin,Hogar,Cafetera,13,308288,0.07,Catalogo
2024-07-06,Bucaramanga,Hogar,Plancha,9,132914,0.09,App Movil
2024-11-23,Bucaramanga,Alimentos,Aceite de Oliva,16,26185,0.26,Tienda Fisica
2024-10-26,Bogota,Alimentos,Cafe Premium,12,36224,0.04,Tienda Fisica
2024-11-02,Bucaramanga,Electronica,Audifonos,9,331539,0.25,Catalogo
2024-06-03,Medellin,Ropa,Zapatos,10,207626,0.13,App Movil
2024-05-25,Bucaramanga,Alimentos,Snack Saludable,14,11364,0.02,Distribuidores
28/04/2024,Bucaramanga,Electronica,Smartwatch,6,803577,0.29,Tienda Fisica
2024-03-11,Medellin,Electronica,Laptop,12,3595622,0.33,Distribuidores
2024-09-02,Cali,Deportes,Colchoneta,9,72896,,App Movil
2024-07-21,Cali,Alimentos,Proteina,10,77394,,E-commerce
2024-08-14,Cali,Electronica,Audifonos,7,332681,,Catalogo
2024-06-09,Medellin,Hogar,Cafetera,11,282130,0.24,Catalogo
2024-05-04,Barranquilla,Deportes,Tenis,5,278851,0.32,App Movil
2024-06-18,Bogota,Hogar,Cafetera,16,295729,,Catalogo
2024-04-22,Cali,Deportes,Tenis,14,295773,0.18,Tienda Fisica
2024-09-11,Cali,Electronica,Smartwatch,20,880386,0.08,E-commerce
2024-04-01,Cali,Deportes,Bicicleta,8,1740063,0.28,Catalogo
2024-08-19,Bogota,Deportes,Colchoneta,8,67541,0.12,Tienda Fisica
2024-10-16,Medellin,Alimentos,Proteina,6,78178,0.3,E-commerce
2024-08-26,Bucaramanga,Electronica,Camara,5,2350929,0.27,Distribuidores
2024-09-07,Cali,Hogar,Aspiradora,6,739064,0.32,E-commerce
2024-02-18,Bogota,Deportes,Pesas,12,95560,0.16,Catalogo
2024-12-14,Bucaramanga,Alimentos,Proteina,11,94865,0.22,App Movil
2024-05-07,Cali,Electronica,Audifonos,13,373949,0.29,Tienda Fisica
2024-05-23,Medellin,Alimentos,Cafe Premium,7,30906,0.31,App Movil
2024-08-28,Cali,Hogar,Licuadora,20,193172,,Distribuidores
2024-02-10,Bogota,Alimentos,Proteina,12,95196,0.15,Distribuidores
2024-03-21,Cali,Hogar,Plancha,18,123989,0.25,Tienda Fisica
2024-02-24,Medellin,Deportes,Tenis,19,277127,0.1,Catalogo
2024-03-02,Bucaramanga,Hogar,Cafetera,19,304103,,E-commerce
22/10/2024,Bucaramanga,Alimentos,Snack Saludable,8,11705,0.05,Distribuidores
2024-08-17,Bucaramanga,Alimentos,Snack Saludable,7,12757,,E-commerce
2024-02-27,Barranquilla,Alimentos,Cafe Premium,12,31586,0.11,Catalogo
2024-03-08,Bucaramanga,Ropa,Chaqueta,9,178314,0.0,Distribuidores
2024-10-20,Bucaramanga,Electronica,Laptop,18,3318020,0.03,Catalogo
2024-11-10,Barranquilla,Electronica,Tablet,13,1510885,0.17,Catalogo
2024-05-18,Bogota,Hogar,Plancha,1,109998,0.23,Catalogo
07/07/2024,Bogota,Alimentos,Proteina,9,87742,,App Movil
2024-11-30,Bucaramanga,Electronica,Tablet,13,1370298,0.18,Tienda Fisica
2024-02-08,Bucaramanga,Deportes,Pesas,4,102058,0.11,E-commerce
2024-02-17,Barranquilla,Alimentos,Cafe Premium,3,35165,0.14,Distribuidores
2024-05-04,Cali,Deportes,Cuerda,9,27603,0.14,Catalogo
2024-03-01,Barranquilla,Hogar,Microondas,20,451896,0.14,E-commerce
2024-12-05,Barranquilla,Alimentos,Snack Saludable,13,11741,0.06,App Movil
2024-02-04,Bogota,Electronica,Smartwatch,7,727965,0.02,Distribuidores
24/08/2024,Barranquilla,Alimentos,Snack Saludable,17,11698,0.25,Tienda Fisica
2024-05-03,Medellin,Alimentos,Proteina,5,93623,0.32,Distribuidores
2024-01-20,Barranquilla,Electronica,Camara,7,2318708,0.16,E-commerce
2024-05-06,Bucaramanga,Alimentos,Aceite de Oliva,17,28327,0.25,Tienda Fisica
26/12/2024,Cali,Alimentos,Proteina,19,86733,0.24,Tienda Fisica
2024-03-21,Barranquilla,Electronica,Laptop,1,3673471,0.15,Catalogo
2024-10-02,Bucaramanga,Electronica,Tablet,3,1429043,0.22,Tienda Fisica
2024-06-29,Cali,Ropa,Zapatos,6,199943,,Distribuidores
2024-03-01,Medellin,Alimentos,Granola,13,17879,0.35,Tienda Fisica
2024-02-22,Bucaramanga,Electronica,Audifonos,9,365630,0.2,Distribuidores
2024-11-22,Bogota,Deportes,Bicicleta,3,1844936,0.15,E-commerce
2024-12-07,Bogota,Hogar,Licuadora,10,169187,0.24,Catalogo
2024-12-19,Bucaramanga,Alimentos,Cafe Premium,15,35439,0.16,E-commerce
03/05/2024,Cali,Electronica,Laptop,20,3236883,0.34,Catalogo
18/07/2024,Bucaramanga,Hogar,Cafetera,19,288578,0.0,Tienda Fisica
2024-09-09,Bogota,Hogar,Plancha,4,112585,0.06,Tienda Fisica
2024-04-05,Bogota,Alimentos,Proteina,12,77938,0.18,App Movil
2024-08-30,Bogota,Ropa,Camiseta,13,45798,,Distribuidores
2024-09-06,Cali,Hogar,Plancha,5,128139,0.08,Distribuidores
2024-02-24,Bucaramanga,Deportes,Cuerda,17,24339,,Tienda Fisica
2024-10-15,Bogota,Alimentos,Snack Saludable,3,10936,0.22,Tienda Fisica
2024-10-16,Bogota,Alimentos,Cafe Premium,18,32227,0.13,Distribuidores
2024-05-13,Bogota,Ropa,Vestido,19,122495,0.02,Catalogo
2024-07-06,Bucaramanga,Deportes,Tenis,17,269611,0.34,Tienda Fisica
2024-08-22,Bogota,Deportes,Cuerda,16,26230,0.01,Tienda Fisica
2024-01-23,Cali,Hogar,Cafetera,15,280097,0.29,Catalogo
2024-09-30,Medellin,Deportes,Pesas,13,104423,0.3,E-commerce
2024-10-31,Bucaramanga,Deportes,Tenis,3,267546,0.1,App Movil
2024-05-05,Medellin,Hogar,Plancha,14,108717,0.19,Tienda Fisica
2024-09-25,Bucaramanga,Deportes,Tenis,6,277473,0.32,App Movil
2024-11-23,Barranquilla,Alimentos,Snack Saludable,15,13336,0.07,Distribuidores
2024-01-07,Bucaramanga,Deportes,Bicicleta,16,1835421,0.12,Distribuidores
2024-12-19,Barranquilla,Electronica,Smartwatch,5,794280,0.03,App Movil
2024-03-31,Medellin,Ropa,Jean,11,104647,0.24,App Movil
2024-01-28,Medellin,Ropa,Chaqueta,11,166406,0.22,Catalogo
2024-10-26,Bogota,Hogar,Microondas,4,-395259,0.16,E-commerce
2024-01-01,Barranquilla,Alimentos,Granola,14,17867,0.02,App Movil
2024-09-05,Medellin,Ropa,Vestido,15,119518,0.1,Distribuidores
2024-08-20,Bogota,Alimentos,Cafe Premium,9,31386,,Distribuidores
2024-10-15,Barranquilla,Hogar,Plancha,16,122775,0.06,App Movil
2024-11-11,Barranquilla,Electronica,Tablet,2,1475172,0.2,Catalogo
2024-03-15,Bogota,Ropa,Zapatos,14,213178,0.1,E-commerce
2024-01-10,Medellin,Hogar,Aspiradora,18,588596,,Tienda Fisica
2024-11-30,Barranquilla,Alimentos,Granola,16,18070,0.29,Catalogo
2024-11-10,Bogota,Alimentos,Aceite de Oliva,10,28406,0.34,App Movil
2024-01-28,Cali,Deportes,Cuerda,16,23353,0.29,Tienda Fisica
04/08/2024,Bogota,Alimentos,Snack Saludable,4,10876,0.05,App Movil
2024-09-22,Bucaramanga,Hogar,Plancha,19,114631,0.13,App Movil
2024-12-20,Bucaramanga,Hogar,Microondas,15,382588,0.13,E-commerce
2024-07-27,Barranquilla,Hogar,Microondas,7,468788,0.32,Catalogo
2024-02-25,Barranquilla,Electronica,Smartwatch,2,895556,0.09,Catalogo
2024-03-31,Cali,Hogar,Aspiradora,1,609003,0.25,Tienda Fisica
2024-02-13,Bogota,Ropa,Zapatos,12,215154,0.16,E-commerce
2024-01-29,Barranquilla,Alimentos,Proteina,17,85328,0.2,E-commerce
01/01/2024,Barranquilla,Electronica,Audifonos,4,332955,0.34,Distribuidores
2024-08-01,Bucaramanga,Alimentos,Proteina,5,84754,0.09,App Movil
03/01/2024,Bucaramanga,Electronica,Tablet,14,1594835,0.31,E-commerce
2024-04-27,Barranquilla,Hogar,Aspiradora,8,666136,0.23,App Movil
2024-06-25,Barranquilla,Alimentos,Cafe Premium,10,34226,0.21,Tienda Fisica
04/12/2024,Medellin,Electronica,Tablet,18,1459314,0.22,Catalogo
2024-01-02,Barranquilla,Hogar,Cafetera,15,281681,0.24,Distribuidores
06/09/2024,Bucaramanga,Deportes,Pesas,20,100754,0.01,Tienda Fisica
2024-12-30,Bogota,Deportes,Cuerda,8,28264,0.11,Tienda Fisica
2024-03-12,Bogota,Deportes,Bicicleta,2,1993668,0.34,Tienda Fisica
2024-09-24,Cali,Ropa,Vestido,2,146149,0.17,Tienda Fisica
2024-11-29,Bogota,Hogar,Licuadora,8,170971,0.01,Tienda Fisica
2024-05-03,Medellin,Alimentos,Granola,14,16207,0.12,Distribuidores
07/07/2024,Bogota,Alimentos,Proteina,9,87742,,App Movil
2024-05-20,Medellin,Electronica,Laptop,5,-3469177,0.24,E-commerce
2024-04-24,Bogota,Electronica,Audifonos,4,388428,0.23,Distribuidores
2024-02-07,Bogota,Hogar,Plancha,12,129012,0.19,Catalogo
2024-02-12,Cali,Hogar,Licuadora,13,194025,0.22,E-commerce
2024-07-24,Cali,Hogar,Microondas,19,439542,0.32,Tienda Fisica
2024-08-08,Bucaramanga,Deportes,Colchoneta,10,-73512,0.33,E-commerce
21/08/2024,Bucaramanga,Electronica,Camara,2,-2152295,0.2,Distribuidores
2024-02-16,Barranquilla,Ropa,Jean,4,96037,0.24,Tienda Fisica
2024-10-07,Barranquilla,Hogar,Licuadora,16,176877,0.0,E-commerce
2024-08-04,Barranquilla,Ropa,Chaqueta,15,154080,0.16,Distribuidores
2024-09-22,Cali,Electronica,Tablet,16,1694213,,Catalogo
2024-06-12,Medellin,Hogar,Aspiradora,11,657577,,Tienda Fisica
2024-08-17,Bucaramanga,Alimentos,Snack Saludable,7,12757,,E-commerce
27/11/2024,Bucaramanga,Alimentos,Aceite de Oliva,8,28776,0.28,Catalogo
07/11/2024,Cali,Ropa,Zapatos,17,229633,0.22,Distribuidores
2024-07-13,Cali,Ropa,Vestido,18,118167,0.02,Catalogo
2024-12-04,Bogota,Alimentos,Cafe Premium,2,34318,0.15,Tienda Fisica
2024-03-17,Medellin,Electronica,Audifonos,4,316335,0.22,Distribuidores
2024-03-11,Cali,Ropa,Jean,19,91434,0.09,Distribuidores
2024-09-15,Barranquilla,Hogar,Plancha,20,110889,0.17,E-commerce
2024-01-15,Medellin,Alimentos,Granola,7,19966,0.09,E-commerce
15/04/2024,Cali,Deportes,Pesas,19,104366,0.24,Distribuidores
2024-07-18,Barranquilla,Ropa,Chaqueta,18,175995,0.31,App Movil
2024-09-14,Medellin,Alimentos,Cafe Premium,19,30034,0.23,App Movil
2024-10-08,Bogota,Electronica,Camara,16,1960637,0.24,Distribuidores
10/05/2024,Bogota,Hogar,Plancha,15,129291,0.05,Distribuidores
2024-12-24,Medellin,Hogar,Cafetera,7,297855,0.28,Tienda Fisica
2024-02-23,Barranquilla,Electronica,Tablet,16,1650849,0.24,App Movil
2024-12-23,Barranquilla,Electronica,Tablet,9,-1408305,0.34,Distribuidores
16/10/2024,Medellin,Ropa,Vestido,17,139677,0.05,Distribuidores
2024-01-10,Cali,Alimentos,Snack Saludable,6,13654,0.12,Distribuidores
2024-05-04,Bogota,Deportes,Bicicleta,19,1886556,0.05,E-commerce
2024-08-23,Cali,Hogar,Licuadora,3,165296,0.06,Tienda Fisica
19/02/2024,Bogota,Hogar,Microondas,13,468737,0.15,Distribuidores
10/05/2024,Bogota,Ropa,Jean,4,-90925,0.18,App Movil
2024-04-06,Bogota,Ropa,Jean,6,-86122,0.35,E-commerce
2024-01-14,Cali,Ropa,Vestido,3,121122,0.03,Catalogo
2024-04-18,Barranquilla,Hogar,Aspiradora,5,611155,0.08,App Movil
2024-04-28,Bogota,Electronica,Camara,20,2293728,0.33,Distribuidores
2024-09-26,Barranquilla,Hogar,Licuadora,11,203305,0.07,Tienda Fisica
2024-02-12,Barranquilla,Alimentos,Snack Saludable,14,12607,0.29,Tienda Fisica
2024-07-26,Medellin,Deportes,Pesas,14,94895,0.26,E-commerce
26/05/2024,Bucaramanga,Deportes,Cuerda,14,26886,,Catalogo
03/01/2024,Cali,Alimentos,Cafe Premium,20,35775,0.12,Tienda Fisica
2024-04-07,Cali,Hogar,Cafetera,14,264371,0.22,Tienda Fisica
2024-02-03,Medellin,Electronica,Laptop,5,2953583,0.3,Catalogo
2024-06-17,Barranquilla,Electronica,Tablet,10,1598469,0.14,Catalogo
2024-08-18,Cali,Ropa,Camiseta,18,48652,,Tienda Fisica
2024-12-24,Cali,Alimentos,Proteina,3,88841,0.18,Catalogo
2024-06-10,Bogota,Electronica,Tablet,19,1404072,0.29,E-commerce
2024-09-06,Bogota,Hogar,Cafetera,15,264333,0.09,Catalogo
2024-03-01,Medellin,Hogar,Aspiradora,4,614745,0.24,Distribuidores
2024-11-26,Bogota,Deportes,Colchoneta,16,74735,0.08,E-commerce
21/01/2024,Bucaramanga,Alimentos,Proteina,17,-92760,0.34,Catalogo
2024-09-27,Cali,Ropa,Zapatos,13,231622,0.21,App Movil
2024-09-19,Barranquilla,Ropa,Chaqueta,4,176113,0.25,Catalogo
2024-12-12,Medellin,Deportes,Pesas,14,108192,0.18,Distribuidores
2024-09-25,Bucaramanga,Alimentos,Proteina,12,86735,0.08,Distribuidores
14/02/2024,Cali,Ropa,Vestido,13,129841,0.23,Catalogo
2024-03-05,Medellin,Hogar,Licuadora,3,171476,0.14,Distribuidores
2024-02-17,Barranquilla,Electronica,Tablet,1,1649634,0.32,App Movil
2024-08-21,Cali,Hogar,Plancha,20,127132,0.33,Tienda Fisica
06/10/2024,Cali,Alimentos,Snack Saludable,20,12253,0.34,Distribuidores
2024-08-02,Bucaramanga,Alimentos,Proteina,19,84654,0.07,E-commerce
2024-03-14,Medellin,Alimentos,Snack Saludable,17,12004,0.01,App Movil
2024-12-28,Cali,Ropa,Camiseta,8,51266,0.18,App Movil
2024-01-14,Barranquilla,Deportes,Colchoneta,13,76913,0.08,Tienda Fisica
2024-06-01,Medellin,Ropa,Vestido,10,139909,0.24,Distribuidores
2024-03-18,Bogota,Alimentos,Cafe Premium,12,35265,0.14,Tienda Fisica
2024-06-21,Cali,Ropa,Camiseta,9,49982,0.3,Distribuidores
2024-08-06,Bucaramanga,Alimentos,Proteina,3,85018,0.03,Distribuidores
17/12/2024,Cali,Ropa,Jean,16,91464,0.32,App Movil
2024-10-15,Bogota,Deportes,Cuerda,3,-23854,0.21,Distribuidores
2024-06-01,Cali,Ropa,Jean,18,106276,0.05,Tienda Fisica
2024-02-29,Medellin,Ropa,Zapatos,2,214740,0.17,Tienda Fisica
2024-02-22,Barranquilla,Deportes,Bicicleta,2,1870709,0.0,Catalogo
2024-07-22,Bucaramanga,Alimentos,Granola,1,18502,,Tienda Fisica
2024-12-22,Barranquilla,Alimentos,Snack Saludable,5,11700,0.06,Catalogo
2024-09-10,Bogota,Deportes,Colchoneta,7,82819,0.31,Tienda Fisica
2024-09-07,Medellin,Hogar,Plancha,2,123718,0.29,App Movil
2024-08-04,Medellin,Deportes,Pesas,15,91433,0.32,Distribuidores
14/07/2024,Bogota,Hogar,Aspiradora,8,647530,0.34,Tienda Fisica
2024-11-13,Medellin,Alimentos,Proteina,6,97244,0.28,E-commerce
2024-04-01,Barranquilla,Electronica,Smartwatch,12,763713,0.2,Distribuidores
2024-07-04,Bucaramanga,Hogar,Microondas,4,481439,0.28,E-commerce
2024-08-03,Bucaramanga,Hogar,Aspiradora,13,722946,0.02,App Movil
2024-03-15,Medellin,Deportes,Pesas,1,89694,0.17,Catalogo
2024-08-04,Bogota,Alimentos,Granola,8,17555,,Distribuidores
2024-11-20,Bucaramanga,Deportes,Bicicleta,20,1652047,0.31,App Movil
01/12/2024,Bucaramanga,Electronica,Laptop,14,3241244,0.08,E-commerce
2024-09-07,Medellin,Hogar,Cafetera,9,306516,0.13,App Movil
2024-02-27,Bogota,Electronica,Smartwatch,17,760431,0.19,App Movil
2024-05-19,Barranquilla,Deportes,Pesas,1,-94735,,Catalogo
2024-09-29,Medellin,Deportes,Bicicleta,16,2046082,0.06,E-commerce
2024-09-11,Bogota,Deportes,Colchoneta,13,76977,0.34,Tienda Fisica
2024-05-21,Bucaramanga,Electronica,Tablet,13,1645929,0.0,Tienda Fisica
2024-07-13,Bucaramanga,Hogar,Microondas,17,436666,0.23,E-commerce
2024-03-03,Medellin,Deportes,Pesas,15,89601,0.25,Tienda Fisica
2024-11-30,Cali,Alimentos,Aceite de Oliva,6,32150,0.14,Tienda Fisica
2024-02-14,Bucaramanga,Ropa,Chaqueta,1,158757,0.1,Catalogo
2024-08-16,Bucaramanga,Alimentos,Cafe Premium,8,34724,0.14,Tienda Fisica
2024-01-04,Bucaramanga,Deportes,Cuerda,16,24820,0.11,Tienda Fisica
2024-12-26,Cali,Alimentos,Cafe Premium,19,29937,0.33,App Movil
2024-06-14,Bogota,Hogar,Plancha,9,109572,0.26,E-commerce
2024-01-14,Bogota,Deportes,Bicicleta,18,1661879,,Distribuidores
2024-08-14,Barranquilla,Electronica,Audifonos,20,353679,0.1,Catalogo
2024-09-13,Bucaramanga,Hogar,Cafetera,2,312169,,Catalogo
23/11/2024,Cali,Ropa,Camiseta,20,42985,0.34,Distribuidores
2024-10-14,Medellin,Alimentos,Cafe Premium,14,30564,0.21,App Movil
2024-10-23,Bogota,Ropa,Camiseta,19,48120,0.34,Distribuidores
2024-02-05,Bucaramanga,Alimentos,Aceite de Oliva,15,-27270,0.09,E-commerce
2024-05-05,Bogota,Electronica,Laptop,12,3186384,0.05,Catalogo
2024-08-20,Cali,Ropa,Jean,13,92109,,Distribuidores
2024-07-07,Cali,Deportes,Bicicleta,14,1882666,0.28,Tienda Fisica
21/12/2024,Bogota,Electronica,Audifonos,15,356229,0.12,Distribuidores
2024-02-06,Bucaramanga,Ropa,Vestido,9,130248,0.16,E-commerce
2024-10-06,Medellin,Hogar,Plancha,18,135784,0.09,Catalogo
